,id,word,constitutive_component,constitutive_policydemic,regulative_component,regulative_policydemic
670,39-25,uses,_,_,(Cac) Activation Condition[122]|(I) Aim[124],*[122]|*[124]
671,39-26,the,_,_,(Cac) Activation Condition[122]|(Bdir) Object\_Direct[125],*[122]|(B) Benefit[125]
672,39-27,paid,_,_,(Cac) Activation Condition[122]|(Bdir) Object\_Direct[125],*[122]|(B) Benefit[125]
673,39-28,sick,_,_,(Cac) Activation Condition[122]|(Bdir) Object\_Direct[125],*[122]|(B) Benefit[125]
674,39-29,time,_,_,(Cac) Activation Condition[122]|(Bdir) Object\_Direct[125],*[122]|(B) Benefit[125]
675,39-30,under,_,_,"(Cac) Activation Condition[122]|(Bdir, prop) Object\_Direct\_Property[126]",*[122]|(BP) Benefit Property[126]
676,39-31,subsection,_,_,"(Cac) Activation Condition[122]|(Bdir, prop) Object\_Direct\_Property[126]",*[122]|(BP) Benefit Property[126]
677,39-32,(,_,_,"(Cac) Activation Condition[122]|(Bdir, prop) Object\_Direct\_Property[126]",*[122]|(BP) Benefit Property[126]
678,39-33,a,_,_,"(Cac) Activation Condition[122]|(Bdir, prop) Object\_Direct\_Property[126]",*[122]|(BP) Benefit Property[126]
679,39-34,),_,_,"(Cac) Activation Condition[122]|(Bdir, prop) Object\_Direct\_Property[126]",*[122]|(BP) Benefit Property[126]
680,39-35,.,_,_,_,_
681,40-1,SEC,_,_,_,_
682,40-2,.,_,_,_,_
683,40-3,5103,_,_,_,_
684,40-4,NOTICE,_,_,_,_
685,40-5,.,_,_,_,_
686,41-1,(,_,_,_,_
687,41-2,a,_,_,_,_
688,41-3,),_,_,_,_
689,41-4,IN,_,_,_,_
690,41-5,GENERAL,_,_,_,_
691,41-6,.,_,_,_,_
692,42-1,-,_,_,_,_
693,42-2,-,_,_,_,_
694,42-3,Each,_,_,"(A, prop) Attribute\_Property",*
695,42-4,employer,_,_,(A) Attribute,*
696,42-5,shall,_,_,(D) Deontic,*
697,42-6,post,_,_,(I) Aim,*
698,42-7,and,_,_,_,_
699,42-8,keep,_,_,_,_
700,42-9,posted,_,_,_,_
701,42-10,",",_,_,_,_
702,42-11,in,_,_,(Cex) Execution Constraint[127],*[127]
703,42-12,conspicuous,_,_,(Cex) Execution Constraint[127],*[127]
704,42-13,places,_,_,(Cex) Execution Constraint[127],*[127]
705,42-14,on,_,_,(Cex) Execution Constraint[127],*[127]
706,42-15,the,_,_,(Cex) Execution Constraint[127],*[127]
707,42-16,premises,_,_,(Cex) Execution Constraint[127],*[127]
708,42-17,of,_,_,(Cex) Execution Constraint[127],*[127]
709,42-18,the,_,_,(Cex) Execution Constraint[127],*[127]
710,42-19,employer,_,_,(Cex) Execution Constraint[127],*[127]
711,42-20,where,_,_,(Cex) Execution Constraint[127],*[127]
712,42-21,notices,_,_,(Cex) Execution Constraint[127],*[127]
713,42-22,to,_,_,(Cex) Execution Constraint[127],*[127]
714,42-23,employees,_,_,(Cex) Execution Constraint[127],*[127]
715,42-24,are,_,_,(Cex) Execution Constraint[127],*[127]
716,42-25,customarily,_,_,(Cex) Execution Constraint[127],*[127]
717,42-26,posted,_,_,(Cex) Execution Constraint[127],*[127]
718,42-27,",",_,_,_,_
719,42-28,a,_,_,_,_
720,42-29,notice,_,_,(Bdir) Object\_Direct,*
721,42-30,",",_,_,_,_
722,42-31,to,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
723,42-32,be,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
724,42-33,prepared,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
725,42-34,or,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
726,42-35,approved,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
727,42-36,by,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
728,42-37,the,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
729,42-38,Secretary,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
730,42-39,of,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
731,42-40,Labor,_,_,"(Bdir, prop) Object\_Direct\_Property[128]",*[128]
732,42-41,",",_,_,_,_
733,42-42,of,_,_,"(Bdir, prop) Object\_Direct\_Property[129]",*[129]
734,42-43,the,_,_,"(Bdir, prop) Object\_Direct\_Property[129]",*[129]
735,42-44,requirements,_,_,"(Bdir, prop) Object\_Direct\_Property[129]",*[129]
736,42-45,described,_,_,"(Bdir, prop) Object\_Direct\_Property[129]",*[129]
737,42-46,in,_,_,"(Bdir, prop) Object\_Direct\_Property[129]",*[129]
738,42-47,this,_,_,"(Bdir, prop) Object\_Direct\_Property[129]",*[129]
739,42-48,Act,_,_,"(Bdir, prop) Object\_Direct\_Property[129]",*[129]
740,42-49,.,_,_,_,_
741,43-1,(,_,_,_,_
742,43-2,b,_,_,_,_
743,43-3,),_,_,_,_
744,43-4,MODEL,_,_,_,_
745,43-5,NOTICE,_,_,_,_
746,43-6,.,_,_,_,_
747,44-1,-,_,_,_,_
748,44-2,-,_,_,_,_
749,44-3,Not,_,_,(Cac) Activation Condition[130],*[130]
750,44-4,later,_,_,(Cac) Activation Condition[130],*[130]
751,44-5,than,_,_,(Cac) Activation Condition[130],*[130]
752,44-6,7,_,_,(Cac) Activation Condition[130],*[130]
753,44-7,days,_,_,(Cac) Activation Condition[130],*[130]
754,44-8,after,_,_,(Cac) Activation Condition[130],*[130]
755,44-9,the,_,_,(Cac) Activation Condition[130],*[130]
756,44-10,date,_,_,(Cac) Activation Condition[130],*[130]
757,44-11,of,_,_,(Cac) Activation Condition[130],*[130]
758,44-12,enactment,_,_,(Cac) Activation Condition[130],*[130]
759,44-13,of,_,_,(Cac) Activation Condition[130],*[130]
760,44-14,this,_,_,(Cac) Activation Condition[130],*[130]
761,44-15,Act,_,_,(Cac) Activation Condition[130],*[130]
762,44-16,",",_,_,_,_
763,44-17,the,_,_,(A) Attribute[131],*[131]
764,44-18,Secretary,_,_,(A) Attribute[131],*[131]
765,44-19,of,_,_,(A) Attribute[131],*[131]
766,44-20,Labor,_,_,(A) Attribute[131],*[131]
767,44-21,shall,_,_,(D) Deontic,*
768,44-22,make,_,_,(I) Aim,*
769,44-23,publicly,_,_,(Cex) Execution Constraint[132],*[132]
770,44-24,available,_,_,(Cex) Execution Constraint[132],*[132]
771,44-25,a,_,_,_,_
772,44-26,model,_,_,(Bdir) Object\_Direct,*
773,44-27,of,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
774,44-28,a,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
775,44-29,notice,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
776,44-30,that,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
777,44-31,meets,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
778,44-32,the,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
779,44-33,requirements,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
780,44-34,of,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
781,44-35,subsection,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
782,44-36,(,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
783,44-37,a,_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
784,44-38,),_,_,"(Bdir, prop) Object\_Direct\_Property[133]",*[133]
785,44-39,.,_,_,_,_
786,45-1,SEC,_,_,_,_
787,45-2,.,_,_,_,_
788,45-3,5104,_,_,_,_
789,45-4,.,_,_,_,_
790,46-1,PROHIBITED,_,_,_,_
791,46-2,ACTS,_,_,_,_
792,46-3,.,_,_,_,_
793,47-1,It,(E) Constituted Entity,*,_,_
794,47-2,shall,(D) Deontic,*,_,_
795,47-3,be,(F) Constitutive Function,*,_,_
796,47-4,unlawful,(P) Constituting Property,*,_,_
797,47-5,for,(Cex) Execution Constraint[24],*[24],_,_
798,47-6,any,(Cex) Execution Constraint[24],*[24],_,_
799,47-7,employer,(Cex) Execution Constraint[24],*[24],_,_
800,47-8,to,"(P, prop) Constituting Property Property[25]",*[25],_,_
801,47-9,discharge,"(P, prop) Constituting Property Property[25]",*[25],_,_
802,47-10,",","(P, prop) Constituting Property Property[25]",*[25],_,_
803,47-11,discipline,"(P, prop) Constituting Property Property[25]",*[25],_,_
804,47-12,",","(P, prop) Constituting Property Property[25]",*[25],_,_
805,47-13,or,"(P, prop) Constituting Property Property[25]",*[25],_,_
806,47-14,in,"(P, prop) Constituting Property Property[25]",*[25],_,_
807,47-15,any,"(P, prop) Constituting Property Property[25]",*[25],_,_
808,47-16,other,"(P, prop) Constituting Property Property[25]",*[25],_,_
809,47-17,manner,"(P, prop) Constituting Property Property[25]",*[25],_,_
810,47-18,discriminate,"(P, prop) Constituting Property Property[25]",*[25],_,_
811,47-19,against,"(P, prop) Constituting Property Property[25]",*[25],_,_
812,47-20,any,"(P, prop) Constituting Property Property[25]",*[25],_,_
813,47-21,employee,"(P, prop) Constituting Property Property[25]",*[25],_,_
814,47-22,who,"(P, prop) Constituting Property Property[25]",*[25],_,_
815,47-23,-,"(P, prop) Constituting Property Property[25]",*[25],_,_
816,47-24,-,"(P, prop) Constituting Property Property[25]",*[25],_,_
817,47-25,(,"(P, prop) Constituting Property Property[25]",*[25],_,_
818,47-26,1,"(P, prop) Constituting Property Property[25]",*[25],_,_
819,47-27,),"(P, prop) Constituting Property Property[25]",*[25],_,_
820,47-28,takes,"(P, prop) Constituting Property Property[25]",*[25],_,_
821,47-29,leave,"(P, prop) Constituting Property Property[25]",*[25],_,_
822,47-30,in,"(P, prop) Constituting Property Property[25]",*[25],_,_
823,47-31,accordance,"(P, prop) Constituting Property Property[25]",*[25],_,_
824,47-32,with,"(P, prop) Constituting Property Property[25]",*[25],_,_
825,47-33,this,"(P, prop) Constituting Property Property[25]",*[25],_,_
826,47-34,Act,"(P, prop) Constituting Property Property[25]",*[25],_,_
827,47-35,;,"(P, prop) Constituting Property Property[25]",*[25],_,_
828,47-36,and,"(P, prop) Constituting Property Property[25]",*[25],_,_
829,47-37,(,"(P, prop) Constituting Property Property[25]",*[25],_,_
830,47-38,2,"(P, prop) Constituting Property Property[25]",*[25],_,_
831,47-39,),"(P, prop) Constituting Property Property[25]",*[25],_,_
832,47-40,has,"(P, prop) Constituting Property Property[25]",*[25],_,_
833,47-41,filed,"(P, prop) Constituting Property Property[25]",*[25],_,_
834,47-42,any,"(P, prop) Constituting Property Property[25]",*[25],_,_
835,47-43,complaint,"(P, prop) Constituting Property Property[25]",*[25],_,_
836,47-44,or,"(P, prop) Constituting Property Property[25]",*[25],_,_
837,47-45,instituted,"(P, prop) Constituting Property Property[25]",*[25],_,_
838,47-46,or,"(P, prop) Constituting Property Property[25]",*[25],_,_
839,47-47,caused,"(P, prop) Constituting Property Property[25]",*[25],_,_
840,47-48,to,"(P, prop) Constituting Property Property[25]",*[25],_,_
841,47-49,be,"(P, prop) Constituting Property Property[25]",*[25],_,_
842,47-50,instituted,"(P, prop) Constituting Property Property[25]",*[25],_,_
843,47-51,any,"(P, prop) Constituting Property Property[25]",*[25],_,_
844,47-52,proceeding,"(P, prop) Constituting Property Property[25]",*[25],_,_
845,47-53,under,"(P, prop) Constituting Property Property[25]",*[25],_,_
846,47-54,or,"(P, prop) Constituting Property Property[25]",*[25],_,_
847,47-55,related,"(P, prop) Constituting Property Property[25]",*[25],_,_
848,47-56,to,"(P, prop) Constituting Property Property[25]",*[25],_,_
849,47-57,this,"(P, prop) Constituting Property Property[25]",*[25],_,_
850,47-58,Act,"(P, prop) Constituting Property Property[25]",*[25],_,_
851,47-59,(,"(P, prop) Constituting Property Property[25]",*[25],_,_
852,47-60,including,"(P, prop) Constituting Property Property[25]",*[25],_,_
853,47-61,a,"(P, prop) Constituting Property Property[25]",*[25],_,_
854,47-62,proceeding,"(P, prop) Constituting Property Property[25]",*[25],_,_
855,47-63,that,"(P, prop) Constituting Property Property[25]",*[25],_,_
856,47-64,seeks,"(P, prop) Constituting Property Property[25]",*[25],_,_
857,47-65,enforcement,"(P, prop) Constituting Property Property[25]",*[25],_,_
858,47-66,of,"(P, prop) Constituting Property Property[25]",*[25],_,_
859,47-67,this,"(P, prop) Constituting Property Property[25]",*[25],_,_
860,47-68,Act,"(P, prop) Constituting Property Property[25]",*[25],_,_
861,47-69,),"(P, prop) Constituting Property Property[25]",*[25],_,_
862,47-70,",","(P, prop) Constituting Property Property[25]",*[25],_,_
863,47-71,or,"(P, prop) Constituting Property Property[25]",*[25],_,_
864,47-72,has,"(P, prop) Constituting Property Property[25]",*[25],_,_
865,47-73,testified,"(P, prop) Constituting Property Property[25]",*[25],_,_
866,47-74,or,"(P, prop) Constituting Property Property[25]",*[25],_,_
867,47-75,is,"(P, prop) Constituting Property Property[25]",*[25],_,_
868,47-76,about,"(P, prop) Constituting Property Property[25]",*[25],_,_
869,47-77,to,"(P, prop) Constituting Property Property[25]",*[25],_,_
870,47-78,testify,"(P, prop) Constituting Property Property[25]",*[25],_,_
871,47-79,in,"(P, prop) Constituting Property Property[25]",*[25],_,_
872,47-80,any,"(P, prop) Constituting Property Property[25]",*[25],_,_
873,47-81,such,"(P, prop) Constituting Property Property[25]",*[25],_,_
874,47-82,proceeding,"(P, prop) Constituting Property Property[25]",*[25],_,_
875,47-83,.,_,_,_,_
876,48-1,SEC,_,_,_,_
877,48-2,.,_,_,_,_
878,48-3,5105,_,_,_,_
879,48-4,.,_,_,_,_
880,48-5,ENFORCEMENT,_,_,_,_
881,48-6,.,_,_,_,_
882,49-1,(,_,_,_,_
883,49-2,a,_,_,_,_
884,49-3,),_,_,_,_
885,49-4,UNPAID,_,_,_,_
886,49-5,SICK,_,_,_,_
887,49-6,LEAVE,_,_,_,_
888,49-7,.,_,_,_,_
889,50-1,-,_,_,_,_
890,50-2,-,_,_,_,_
891,50-3,An,(E) Constituted Entity[26],*[26],_,_
892,50-4,employer,(E) Constituted Entity[26],*[26],_,_
893,50-5,who,"(E, prop) Constituted Entity Property[27]",*[27],_,_
894,50-6,violates,"(E, prop) Constituted Entity Property[27]",*[27],_,_
895,50-7,section,"(E, prop) Constituted Entity Property[27]",*[27],_,_
896,50-8,5102,"(E, prop) Constituted Entity Property[27]",*[27],_,_
897,50-9,shall,(D) Deontic,*,_,_
898,50-10,-,_,_,_,_
899,50-11,-,_,_,_,_
900,50-12,(,_,_,_,_
901,50-13,1,_,_,_,_
902,50-14,),_,_,_,_
903,50-15,be,(F) Constitutive Function[28],*[28],_,_
904,50-16,considered,(F) Constitutive Function[28],*[28],_,_
905,50-17,to,(F) Constitutive Function[28],*[28],_,_
906,50-18,have,(F) Constitutive Function[28],*[28],_,_
907,50-19,failed,(P) Constituting Property,*,_,_
908,50-20,to,*[29],*[29],_,_
909,50-21,pay,*[29],*[29],_,_
910,50-22,minimum,*[29],*[29],_,_
911,50-23,wages,*[29],*[29],_,_
912,50-24,in,*[29],*[29],_,_
913,50-25,violation,*[29],*[29],_,_
914,50-26,of,*[29],*[29],_,_
915,50-27,section,*[29],*[29],_,_
916,50-28,6,*[29],*[29],_,_
917,50-29,of,*[29],*[29],_,_
918,50-30,the,*[29],*[29],_,_
919,50-31,Fair,*[29],*[29],_,_
920,50-32,Labor,*[29],*[29],_,_
921,50-33,Standards,*[29],*[29],_,_
922,50-34,Act,*[29],*[29],_,_
923,50-35,of,*[29],*[29],_,_
924,50-36,1938,*[29],*[29],_,_
925,50-37,(,*[29],*[29],_,_
926,50-38,29,*[29],*[29],_,_
927,50-39,U.S.C,*[29],*[29],_,_
928,50-40,.,*[29],*[29],_,_
929,50-41,206,*[29],*[29],_,_
930,50-42,),*[29],*[29],_,_
931,50-43,;,_,_,_,_
932,50-44,and,_,_,_,_
933,50-45,(,_,_,_,_
934,50-46,2,_,_,_,_
935,50-47,),_,_,_,_
936,50-48,be,_,_,_,_
937,50-49,subject,(P) Constituting Property,*,_,_
938,50-50,to,"(P, prop) Constituting Property Property[30]",*[30],_,_
939,50-51,the,"(P, prop) Constituting Property Property[30]",*[30],_,_
940,50-52,penalties,"(P, prop) Constituting Property Property[30]",*[30],_,_
941,50-53,described,"(P, prop) Constituting Property Property[30]",*[30],_,_
942,50-54,in,"(P, prop) Constituting Property Property[30]",*[30],_,_
943,50-55,sections,"(P, prop) Constituting Property Property[30]",*[30],_,_
944,50-56,16,"(P, prop) Constituting Property Property[30]",*[30],_,_
945,50-57,and,"(P, prop) Constituting Property Property[30]",*[30],_,_
946,50-58,17,"(P, prop) Constituting Property Property[30]",*[30],_,_
947,50-59,of,"(P, prop) Constituting Property Property[30]",*[30],_,_
948,50-60,such,"(P, prop) Constituting Property Property[30]",*[30],_,_
949,50-61,Act,"(P, prop) Constituting Property Property[30]",*[30],_,_
950,50-62,(,"(P, prop) Constituting Property Property[30]",*[30],_,_
951,50-63,29,"(P, prop) Constituting Property Property[30]",*[30],_,_
952,50-64,U.S.C,"(P, prop) Constituting Property Property[30]",*[30],_,_
953,50-65,.,"(P, prop) Constituting Property Property[30]",*[30],_,_
954,50-66,216,"(P, prop) Constituting Property Property[30]",*[30],_,_
955,50-67,;,"(P, prop) Constituting Property Property[30]",*[30],_,_
956,50-68,217,"(P, prop) Constituting Property Property[30]",*[30],_,_
957,50-69,),"(P, prop) Constituting Property Property[30]",*[30],_,_
958,50-70,with,"(P, prop) Constituting Property Property[30]",*[30],_,_
959,50-71,respect,"(P, prop) Constituting Property Property[30]",*[30],_,_
960,50-72,to,"(P, prop) Constituting Property Property[30]",*[30],_,_
961,50-73,such,"(P, prop) Constituting Property Property[30]",*[30],_,_
962,50-74,violation,"(P, prop) Constituting Property Property[30]",*[30],_,_
963,50-75,.,_,_,_,_
964,51-1,(,_,_,_,_
965,51-2,b,_,_,_,_
966,51-3,),_,_,_,_
967,51-4,UNLAWFUL,_,_,_,_
968,51-5,TERMINATION,_,_,_,_
969,51-6,.,_,_,_,_
970,52-1,-,_,_,_,_
971,52-2,-,_,_,_,_
972,52-3,An,(E) Constituted Entity[31],*[31],_,_
973,52-4,employer,(E) Constituted Entity[31],*[31],_,_
974,52-5,who,"(E, prop) Constituted Entity Property[32]",*[32],_,_
975,52-6,willfully,"(E, prop) Constituted Entity Property[32]",*[32],_,_
976,52-7,violates,"(E, prop) Constituted Entity Property[32]",*[32],_,_
977,52-8,section,"(E, prop) Constituted Entity Property[32]",*[32],_,_
978,52-9,5104,"(E, prop) Constituted Entity Property[32]",*[32],_,_
979,52-10,shall,(D) Deontic,*,_,_
980,52-11,-,_,_,_,_
981,52-12,-,_,_,_,_
982,52-13,(,_,_,_,_
983,52-14,1,_,_,_,_
984,52-15,),_,_,_,_
985,52-16,be,_,_,_,_
986,52-17,considered,_,_,_,_
987,52-18,to,_,_,_,_
988,52-19,be,(F) Constitutive Function,*,_,_
989,52-20,in,*[33],*[33],_,_
990,52-21,violation,*[33],*[33],_,_
991,52-22,of,*[33],*[33],_,_
992,52-23,section,*[33],*[33],_,_
993,52-24,15,*[33],*[33],_,_
994,52-25,(,*[33],*[33],_,_
995,52-26,a,*[33],*[33],_,_
996,52-27,),*[33],*[33],_,_
997,52-28,(,*[33],*[33],_,_
998,52-29,3,*[33],*[33],_,_
999,52-30,),*[33],*[33],_,_
1000,52-31,of,*[33],*[33],_,_
1001,52-32,the,*[33],*[33],_,_
1002,52-33,Fair,*[33],*[33],_,_
1003,52-34,Labor,*[33],*[33],_,_
1004,52-35,Standards,*[33],*[33],_,_
1005,52-36,Act,*[33],*[33],_,_
1006,52-37,of,*[33],*[33],_,_
1007,52-38,1938,*[33],*[33],_,_
1008,52-39,(,*[33],*[33],_,_
1009,52-40,29,*[33],*[33],_,_
1010,52-41,U.S.C,*[33],*[33],_,_
1011,52-42,.,*[33],*[33],_,_
1012,52-43,215,*[33],*[33],_,_
1013,52-44,(,*[33],*[33],_,_
1014,52-45,a,*[33],*[33],_,_
1015,52-46,),*[33],*[33],_,_
1016,52-47,(,*[33],*[33],_,_
1017,52-48,3,*[33],*[33],_,_
1018,52-49,),*[33],*[33],_,_
1019,52-50,),*[33],*[33],_,_
1020,52-51,;,_,_,_,_
1021,52-52,and,_,_,_,_
1022,52-53,(,_,_,_,_
1023,52-54,2,_,_,_,_
1024,52-55,),_,_,_,_
1025,52-56,be,(F) Constitutive Function,*,_,_
1026,52-57,subject,(P) Constituting Property,*,_,_
1027,52-58,to,"(P, prop) Constituting Property Property[34]",*[34],_,_
1028,52-59,the,"(P, prop) Constituting Property Property[34]",*[34],_,_
1029,52-60,penalties,"(P, prop) Constituting Property Property[34]",*[34],_,_
1030,52-61,described,"(P, prop) Constituting Property Property[34]",*[34],_,_
1031,52-62,in,"(P, prop) Constituting Property Property[34]",*[34],_,_
1032,52-63,sections,"(P, prop) Constituting Property Property[34]",*[34],_,_
1033,52-64,16,"(P, prop) Constituting Property Property[34]",*[34],_,_
1034,52-65,and,"(P, prop) Constituting Property Property[34]",*[34],_,_
1035,52-66,17,"(P, prop) Constituting Property Property[34]",*[34],_,_
1036,52-67,of,"(P, prop) Constituting Property Property[34]",*[34],_,_
1037,52-68,such,"(P, prop) Constituting Property Property[34]",*[34],_,_
1038,52-69,Act,"(P, prop) Constituting Property Property[34]",*[34],_,_
1039,52-70,(,"(P, prop) Constituting Property Property[34]",*[34],_,_
1040,52-71,29,"(P, prop) Constituting Property Property[34]",*[34],_,_
1041,52-72,U.S.C,"(P, prop) Constituting Property Property[34]",*[34],_,_
1042,52-73,.,"(P, prop) Constituting Property Property[34]",*[34],_,_
1043,52-74,216,"(P, prop) Constituting Property Property[34]",*[34],_,_
1044,52-75,;,"(P, prop) Constituting Property Property[34]",*[34],_,_
1045,52-76,217,"(P, prop) Constituting Property Property[34]",*[34],_,_
1046,52-77,),"(P, prop) Constituting Property Property[34]",*[34],_,_
1047,52-78,with,(Cex) Execution Constraint[35],*[35],_,_
1048,52-79,respect,(Cex) Execution Constraint[35],*[35],_,_
1049,52-80,to,(Cex) Execution Constraint[35],*[35],_,_
1050,52-81,such,(Cex) Execution Constraint[35],*[35],_,_
1051,52-82,violation,(Cex) Execution Constraint[35],*[35],_,_
1052,52-83,.,_,_,_,_
1053,53-1,SEC,_,_,_,_
1054,53-2,.,_,_,_,_
1055,53-3,5106,_,_,_,_
1056,53-4,.,_,_,_,_
1057,54-1,EMPLOYMENT,_,_,_,_
1058,54-2,UNDER,_,_,_,_
1059,54-3,MULTI-EMPLOYER,_,_,_,_
1060,54-4,BARGAINING,_,_,_,_
1061,54-5,AGREEMENTS,_,_,_,_
1062,54-6,.,_,_,_,_
1063,55-1,(,_,_,_,_
1064,55-2,a,_,_,_,_
1065,55-3,),_,_,_,_
1066,55-4,EMPLOYERS,_,_,_,_
1067,55-5,.,_,_,_,_
1068,56-1,-,_,_,_,_
1069,56-2,-,_,_,_,_
1070,56-3,An,_,_,(A) Attribute[134],*[134]
1071,56-4,employer,_,_,(A) Attribute[134],*[134]
1072,56-5,signatory,_,_,"(A, prop) Attribute\_Property[135]",*[135]
1073,56-6,to,_,_,"(A, prop) Attribute\_Property[135]",*[135]
1074,56-7,a,_,_,"(A, prop) Attribute\_Property[135]",*[135]
1075,56-8,multiemployer,_,_,"(A, prop) Attribute\_Property[135]",*[135]
1076,56-9,collective,_,_,"(A, prop) Attribute\_Property[135]",*[135]
1077,56-10,bargaining,_,_,"(A, prop) Attribute\_Property[135]",*[135]
1078,56-11,agreement,_,_,"(A, prop) Attribute\_Property[135]",*[135]
1079,56-12,may,_,_,(D) Deontic,*
1080,56-13,",",_,_,_,_
1081,56-14,consistent,_,_,(Cex) Execution Constraint[136],*[136]
1082,56-15,with,_,_,(Cex) Execution Constraint[136],*[136]
1083,56-16,its,_,_,(Cex) Execution Constraint[136],*[136]
1084,56-17,bargaining,_,_,(Cex) Execution Constraint[136],*[136]
1085,56-18,obligations,_,_,(Cex) Execution Constraint[136],*[136]
1086,56-19,and,_,_,(Cex) Execution Constraint[136],*[136]
1087,56-20,its,_,_,(Cex) Execution Constraint[136],*[136]
1088,56-21,collective,_,_,(Cex) Execution Constraint[136],*[136]
1089,56-22,bargaining,_,_,(Cex) Execution Constraint[136],*[136]
1090,56-23,agreement,_,_,(Cex) Execution Constraint[136],*[136]
1091,56-24,",",_,_,_,_
1092,56-25,fulfill,_,_,(I) Aim,*
1093,56-26,its,_,_,"(Bdir, prop) Object\_Direct\_Property",*
1094,56-27,obligations,_,_,(Bdir) Object\_Direct,*
1095,56-28,under,_,_,"(Bdir, prop) Object\_Direct\_Property[137]",*[137]
1096,56-29,this,_,_,"(Bdir, prop) Object\_Direct\_Property[137]",*[137]
1097,56-30,Act,_,_,"(Bdir, prop) Object\_Direct\_Property[137]",*[137]
1098,56-31,by,_,_,_,_
1099,56-32,making,_,_,_,_
1100,56-33,contributions,_,_,_,_
1101,56-34,to,_,_,_,_
1102,56-35,a,_,_,_,_
1103,56-36,multiemployer,_,_,_,_
1104,56-37,fund,_,_,_,_
1105,56-38,",",_,_,_,_
1106,56-39,plan,_,_,_,_
1107,56-40,",",_,_,_,_
1108,56-41,or,_,_,_,_
1109,56-42,program,_,_,_,_
1110,56-43,based,_,_,_,_
1111,56-44,on,_,_,_,_
1112,56-45,the,_,_,_,_
1113,56-46,hours,_,_,_,_
1114,56-47,of,_,_,_,_
1115,56-48,paid,_,_,_,_
1116,56-49,sick,_,_,_,_
1117,56-50,time,_,_,_,_
1118,56-51,each,_,_,_,_
1119,56-52,of,_,_,_,_
1120,56-53,its,_,_,_,_
1121,56-54,employees,_,_,_,_
1122,56-55,is,_,_,_,_
1123,56-56,entitled,_,_,_,_
1124,56-57,to,_,_,_,_
1125,56-58,under,_,_,_,_
1126,56-59,this,_,_,_,_
1127,56-60,Act,_,_,_,_
1128,56-61,while,_,_,_,_
1129,56-62,working,_,_,_,_
1130,56-63,under,_,_,_,_
1131,56-64,the,_,_,_,_
1132,56-65,multiemployer,_,_,_,_
1133,56-66,collective,_,_,_,_
1134,56-67,bargaining,_,_,_,_
1135,56-68,agreement,_,_,_,_
1136,56-69,",",_,_,_,_
1137,56-70,provided,_,_,_,_
1138,56-71,that,_,_,_,_
1139,56-72,the,_,_,_,_
1140,56-73,fund,_,_,_,_
1141,56-74,",",_,_,_,_
1142,56-75,plan,_,_,_,_
1143,56-76,",",_,_,_,_
1144,56-77,or,_,_,_,_
1145,56-78,program,_,_,_,_
1146,56-79,enables,_,_,_,_
1147,56-80,employees,_,_,_,_
1148,56-81,to,_,_,_,_
1149,56-82,secure,_,_,_,_
1150,56-83,pay,_,_,_,_
1151,56-84,from,_,_,_,_
1152,56-85,such,_,_,_,_
1153,56-86,fund,_,_,_,_
1154,56-87,",",_,_,_,_
1155,56-88,plan,_,_,_,_
1156,56-89,",",_,_,_,_
1157,56-90,or,_,_,_,_
1158,56-91,program,_,_,_,_
1159,56-92,based,_,_,_,_
1160,56-93,on,_,_,_,_
1161,56-94,hours,_,_,_,_
1162,56-95,they,_,_,_,_
1163,56-96,have,_,_,_,_
1164,56-97,worked,_,_,_,_
1165,56-98,under,_,_,_,_
1166,56-99,the,_,_,_,_
1167,56-100,multiemployer,_,_,_,_
1168,56-101,collective,_,_,_,_
1169,56-102,bargaining,_,_,_,_
1170,56-103,agreement,_,_,_,_
1171,56-104,and,_,_,_,_
1172,56-105,for,_,_,_,_
1173,56-106,the,_,_,_,_
1174,56-107,uses,_,_,_,_
1175,56-108,specified,_,_,_,_
1176,56-109,under,_,_,_,_
1177,56-110,section,_,_,_,_
1178,56-111,5102,_,_,_,_
1179,56-112,(,_,_,_,_
1180,56-113,a,_,_,_,_
1181,56-114,),_,_,_,_
